,Conversation,Sentiment,cleaned,Length
267,সে শোবার ঘরে ডিম লাইটের মতো!,positive,শোবার ঘরে ডিম লাইটের,4
268,এখানে কি সব রেখেছিস? যেটা রাখার কথা সেটা রাখ!,negative,রেখেছিস যেটা রাখার রাখ,4
269,স্বাস্থ্য সমস্যা জন্ম থেকেই লেগে আছে। বড় ডাক্তারের কাছে নিয়ে যাই?,negative,স্বাস্থ্য সমস্যা জন্ম লেগে বড় ডাক্তারের যাই,7
270,"ঠিক আছে, আগামীকাল সকালে নিয়ে যাব।",positive,আগামীকাল সকালে যাব,3
271,"যদি কোন মহিলা গর্ভকালে বেশি মদ পান করে ফেলে, তবে সেই শিশু এই ব্যাধি নিয়ে জন্মগ্রহণ করে।",negative,মহিলা গর্ভকালে মদ পান ফেলে শিশু ব্যাধি জন্মগ্রহণ,8
272,আমার স্ত্রী মদ খায় না।,positive,স্ত্রী মদ খায়,3
273,আমাদের পরিবারের কারোরই এই অভ্যাস নেই।,positive,পরিবারের কারোরই অভ্যাস,3
274,তবে আপনার ছেলের লক্ষণগুলি অবশ্যই ভ্রূণ অ্যালকোহল ডিসর্ডারের।,negative,ছেলের লক্ষণগুলি অবশ্যই ভ্রূণ অ্যালকোহল ডিসর্ডারের,6
275,এই শিশুরা পরবর্তিতে নিজেরদের দৃষ্টিশক্তি হারিয়ে ফেলতে পারে,negative,শিশুরা পরবর্তিতে নিজেরদের দৃষ্টিশক্তি হারিয়ে ফেলতে,6
276,"অবশেষে, স্নায়ুতন্ত্র দুর্বল হয়ে পড়ে এবং নাড়ির গতি দুর্বল হয়ে যায়। এই কারণেই মনে হয় শিশু এখনো প্রাথমিক পর্যায়েই আছে।",negative,অবশেষে স্নায়ুতন্ত্র দুর্বল পড়ে নাড়ির গতি দুর্বল কারণেই শিশু এখনো পর্যায়েই,11
277,ভ্রূণ অ্যালকোহলিক ব্যাধির কোন চিকিৎসা নেই,negative,ভ্রূণ অ্যালকোহলিক ব্যাধির চিকিৎসা,4
278,তবে আপনারা ভাগ্যবান।,positive,আপনারা ভাগ্যবান,2
279,কারো কারো কাছে এটি একটি আসক্তি।,negative,কারো কারো আসক্তি,3
280,"যদি সে একটি ডোজও বাদ দেয়, এটি তাঁর পক্ষে মারাত্মক হতে পারে।",negative,ডোজও বাদ মারাত্মক,3
281,বসো বসো বসো তোমরা সবাই শোন। জেলা শিক্ষা কর্মকর্তা (ডিইও) এখানে একটি পরিদর্শন জন্য আসছে।,positive,বসো বসো বসো তোমরা সবাই শোন জেলা শিক্ষা কর্মকর্তা ডিইও পরিদর্শন আসছে,12
282,হায় খোদা! আমি তোকে অনুরোধ করছি পিছে গিয়ে বস।,negative,হায় খোদা তোকে অনুরোধ করছি পিছে বস,7
283,"সুপ্রভাত স্যার, সুপ্রভাত.",positive,সুপ্রভাত স্যার সুপ্রভাত,3
284,যান!! বের হোন!,negative,বের হোন,2
285,"আর লিখতে থাকো! আমার পরীক্ষা শেষ, স্যার!",positive,লিখতে থাকো পরীক্ষা শেষ স্যার,5
286,"যে কেউ দয়া করে, দয়া করে আমার ছেলেকে বাঁচান ",negative,দয়া দয়া ছেলেকে বাঁচান,4
287,ওই! তুই আমাদের পক্ষে থেকে আমাদের লোকদের মারছিস কেন?,negative,তুই লোকদের মারছিস,3
288,তুই কী জানিস আমরা কেন তাকে পিটাচ্ছি?,negative,তুই জানিস পিটাচ্ছি,3
289,তিনি মারাত্নক মদ্যপানকারী।,negative,মারাত্নক মদ্যপানকারী,2
290,ধন্যবাদ ভাই,positive,ধন্যবাদ ভাই,2
291,সব কিছুর একটা সীমা আছে।,negative,কিছুর সীমা,2
292,কি দারুন. আপনি সব পর্যায়ে 90% অর্জন করেছেন।,positive,দারুন পর্যায়ে অর্জন,3
293,তিনি একজন ভাগ্যবান লোক,positive,একজন ভাগ্যবান লোক,3
294,"আপনি দারুণ, দুর্দান্ত।",positive,দারুণ দুর্দান্ত,2
295,আপনি কেমন আছেন?আপনি আমাকে কিভাবে চিনেন?,positive,কেমন আছেন কিভাবে চিনেন,4
296,আপনি সত্যিই মহান,positive,সত্যিই মহান,2
297,এটা সমাজ সচেতনতার জন্য করা সমাজসেবা মাত্র!,positive,সমাজ সচেতনতার সমাজসেবা,3
298,"আপনার সাথে কথা বলে খুব ভাল লাগলো,বিদায়।",positive,ভাল লাগলো বিদায়,3
299,কি ব্যাপার বন্ধু! তারার দিকে তাকিয়ে নিজেই মনে মনে হেসে চলেছিস?,positive,ব্যাপার বন্ধু তারার তাকিয়ে হেসে চলেছিস,6
300,যেহেতু সেই মেয়ে তোকে প্রশংসা করেছে,positive,যেহেতু মেয়ে তোকে প্রশংসা,4
301,আমি নিশ্চিত সে অবশ্যই সেই ভিডিওটি ফেসবুকে শেয়ার করেছে।,positive,নিশ্চিত অবশ্যই ভিডিওটি ফেসবুকে শেয়ার,5
302,"কারখানা থেকে বর্জ্য নির্গত হওয়ার কারণে,  মানুষেরগুরুতর স্বাস্থ্য সমস্যা দেখা দিচ্ছে।",negative,কারখানা বর্জ্য নির্গত হওয়ার কারণে মানুষেরগুরুতর স্বাস্থ্য সমস্যা দিচ্ছে,9
303,তার অভিনব সৌন্দর্য তো আছেই পাশাপাশি খুব সুন্দর একটা মনও আছে,positive,অভিনব সৌন্দর্য আছেই পাশাপাশি সুন্দর মনও,6
304,আজকাল ছেলেদের চেয়ে মেয়েরা সব দিক থেকে এগিয়ে থাকে।,positive,আজকাল ছেলেদের চেয়ে মেয়েরা দিক এগিয়ে,6
305,খুব শীঘ্রই তুমি একটা চাকরি পেয়ে যাবে চিন্তা করো না।,positive,শীঘ্রই চাকরি পেয়ে চিন্তা,4
306,তাহলে একে অপরের সাথে সরাসরি কথা বলতে পারতিস।,positive,অপরের সরাসরি পারতিস,3
307,অনেক রাত হয়ে তাই হয়ত চলে গেছে। সম্ভবত সে সকালে তার নাম্বার দেবে।,positive,রাত হয়ত সম্ভবত সকালে নাম্বার দেবে,6
308,শালা হারামজাদা!,negative,শালা হারামজাদা,2
309,"তোর বোকা বুদ্ধিতে সব নষ্ট হয়ে গেলো। শালা,গাধা!",negative,তোর বোকা বুদ্ধিতে নষ্ট গেলো শালা গাধা,7
310,আমাকে লাথি মারলি কেন?,negative,লাথি মারলি,2
311,আমার নাম রাজা,positive,নাম রাজা,2
312,আমি অনেক মায়েদের দেখেছি যারা বাচ্চাদের জন্য চা কফি বানিয়ে দেয়,positive,মায়েদের দেখেছি বাচ্চাদের চা কফি বানিয়ে দেয়,7
313,আমার ছেলে অবশ্যই এটি গ্রহণ করবে। সে পারবে,positive,ছেলে অবশ্যই গ্রহণ পারবে,4
314,কোন কাজই ছোট না। সে যে কাজই হোক না কেন!,positive,কাজই ছোট কাজই,3
315,আমার মনে হচ্ছে তুমি নিজের কাজে মনোযোগ দিতে সমস্যার সম্মুখীন হচ্ছো!,negative,মনোযোগ সমস্যার সম্মুখীন হচ্ছো,4
316,সর এখান থেকে।,negative,সর এখান,2
317,তিনি এখানে আমাদের দোকানে কাজ করতে এসেছেন।,positive,দোকানে এসেছেন,2
318,তোর এত সমস্যা কেন? তোর যা ইচ্ছা তা করতে পারিস।,negative,তোর সমস্যা তোর ইচ্ছা পারিস,5
319,তোর এসব নাটক বন্ধ কর। তুই এই সমস্ত গোলযোগের কারণ।,negative,তোর এসব নাটক বন্ধ কর তুই গোলযোগের,7
320,আমার এক কলেজ বন্ধু সেখানে থাকে।,positive,এক কলেজ বন্ধু,3
321,তারা সামাজিক মর্যাদা আর শ্রদ্ধার আদর্শ মডেল।,positive,সামাজিক মর্যাদা শ্রদ্ধার আদর্শ মডেল,5
322,তারা বাড়ির চারপাশে ফুল গাছ লাগিয়েছে।,positive,বাড়ির চারপাশে ফুল গাছ লাগিয়েছে,5
323,তখন তোমার প্রেমের গল্প শুরু হওয়ার আগেই শেষ হয়ে যাবে।,negative,প্রেমের গল্প হওয়ার শেষ,4
324,কি দারুন! এমন সুন্দর বাড়ি!,positive,দারুন সুন্দর বাড়ি,3
325,সেটা দেখে আমি মুগ্ধ। ধন্যবাদ স্যার।,positive,মুগ্ধ ধন্যবাদ স্যার,3
326,এই ন্যূনতম সামাজিক দায়বদ্ধতা এই বয়সের লোকদের থাকা দরকার।,positive,ন্যূনতম সামাজিক দায়বদ্ধতা বয়সের লোকদের দরকার,6
327,উহু!! পিঠে ব্যাথা,negative,উহু পিঠে ব্যাথা,3
328,তোমার না পিঠে ব্যাথা হয়েছিল? ,negative,পিঠে ব্যাথা হয়েছিল,3
329,ব্যথায় চিৎকার,negative,ব্যথায় চিৎকার,2
330,"বাহ, কী সুন্দর অভিনয়।",positive,বাহ সুন্দর অভিনয়,3
331,এটা বেশ সুন্দর,positive,সুন্দর,1
332,এই মেয়েটিকে দেখতে খুব সুন্দর লাগছে।,positive,মেয়েটিকে সুন্দর লাগছে,3
333,এই মেয়েটিকে দেখতে খুব সুন্দর লাগছে।,positive,মেয়েটিকে সুন্দর লাগছে,3
334,আমার মনে হয় না সে সন্ধ্যা অবধি বেঁচে থাকতে পারবে।,negative,সন্ধ্যা বেঁচে থাকতে পারবে,4
335,সে যদি তার আগে মারা যায়?,negative,মারা যায়,2
336,চুপ থাকো তুমি।,negative,চুপ থাকো,2
337,বেঁচে আছে এতেই আমি আনন্দিত।,positive,বেঁচে এতেই আনন্দিত,3
338,আমরা ভাগ্যবান ছিলাম।,positive,ভাগ্যবান ছিলাম,2
339,তুমি কাকে হত্যা করার চেষ্টা করেছিলে?,negative,কাকে হত্যা করেছিলে,3
340,কে সেই শালা?,negative,শালা,1
341,আমি তাকে হত্যা করতে যাচ্ছি।,negative,হত্যা যাচ্ছি,2
342,আমরা সেখানে একটি দুর্দান্ত পার্টি করব।,positive,দুর্দান্ত পার্টি করব,3
343,আমি তোমার শার্টের রঙ পছন্দ করি না।,positive,শার্টের রঙ পছন্দ,3
344,দারুণ ভাই,positive,দারুণ ভাই,2
345,পাগলের মত হাসছিস কেন?,negative,পাগলের মত হাসছিস,3
346,"তার পোশাক দেখে,আমরা বলতে পারি সে পাগল।",positive,পোশাক পাগল,2
347,"আহ, আমার পিঠে ব্যাথা হচ্ছে। আমার পিঠ মনে হয় মচকে গেছে",negative,আহ পিঠে ব্যাথা পিঠ মচকে,5
348,তাকে ফোন করে বাড়িতে আসতে বল।,positive,ফোন বাড়িতে আসতে বল,4
349,আমার ভাই কিছুটা মারাত্মক ব্যাথায় আছেন।,negative,ভাই কিছুটা মারাত্মক ব্যাথায় আছেন,5
350,হায় ঈশ্বর!,negative,হায় ঈশ্বর,2
351,আমাদের ডাক্তারকে ফোন কর এবং তাকে বিষয়টা জানা।,positive,ডাক্তারকে ফোন কর বিষয়টা,4
352,"দেখুন, আমাদের ভাই কত কষ্টে আছেন।",negative,দেখুন ভাই কষ্টে আছেন,4
353,আমি ব্যথায় আছি।,negative,ব্যথায় আছি,2
354,না হলে তোর চামড়া খুলে ডুগডুগি বাজাবো।,negative,তোর চামড়া খুলে ডুগডুগি বাজাবো,5
355,"এই ডাক্তার আমাকে ভালোই সেবা করেছে। এখন, আমার পিঠে মচকে গেছে।",negative,ডাক্তার ভালোই সেবা পিঠে মচকে,5
356,চিৎকার করবি না।,negative,চিৎকার করবি,2
357,তাহলে কি বালটা করছিস! যা তাকে ডেকে নিয়ে আয়।,negative,বালটা করছিস ডেকে আয়,4
358,নাক থেকে রক্ত ​​ঝরছে কেন?,negative,নাক রক্ত ঝরছে,3
359,আমি যা বলছি তা কানে ঢুকছে না?,negative,বলছি কানে ঢুকছে,3
360,আমার ভাই খুব যন্ত্রণায় আছেন। দয়া করে তাকে সুস্থ করুন।,negative,ভাই যন্ত্রণায় আছেন দয়া সুস্থ করুন,6
361,আমি আর এই ব্যথা নিতে পারছি না।,negative,ব্যথা পারছি,2
362,"যদি আমি কখনও জানতে পারি, আমি তোকে সেখানেই হত্যা করব।",negative,তোকে সেখানেই হত্যা করব,4
363,তাকে মারছেন কেন?,negative,মারছেন,1
364,কি দারুন! ওয়াও!!,positive,দারুন ওয়াও,2
365,"তুমি আমার বন্ধু, আমি তোমাকে ভালবাসি।",positive,বন্ধু ভালবাসি,2
366,আমাদের একটা বড় পার্টি হবে।,positive,বড় পার্টি,2
367,তুমি তো দেখছি একজন বিজয়ী।,positive,দেখছি একজন বিজয়ী,3
368,দারুন! দারুণ!,positive,দারুন দারুণ,2
369,আমাদের জমকালো পার্টি হবে।,positive,জমকালো পার্টি,2
370,"আয়, চল দেখে আসি।",positive,আয় চল আসি,3
371,আমাকে আঘাত করার সাহস কিভাবে হয় তার?,negative,আঘাত সাহস কিভাবে,3
372,"শালা, মাতালের বাচ্চা!",negative,শালা মাতালের বাচ্চা,3
373,দুইজনের ভেতর সম্পর্ক বিশ্বাসের উপর টিকে থাকে,positive,দুইজনের ভেতর সম্পর্ক বিশ্বাসের টিকে,5
374,ওকে ছাড়ব না!,negative,ছাড়ব,1
375,"মা, বকবক করা বন্ধ কর।",negative,বকবক বন্ধ কর,3
376,আমার পায়ে খুব ব্যাথা হয়েছে।,negative,পায়ে ব্যাথা হয়েছে,3
377,"ওই, একপাশে সরে যাও।",negative,একপাশে সরে যাও,3
378,তোমার সমস্যা কি?,negative,সমস্যা,1
379,সত্য মানুষ তখনই লুকায় যখন সে বুঝতে পারে এটা বললে তার কাছের কেউ কষ্ট পাবে,positive,সত্য মানুষ তখনই লুকায় বুঝতে বললে কাছের কষ্ট পাবে,9
380,প্রতারক!,negative,প্রতারক,1
381,তুমি একটা প্রতারক,negative,প্রতারক,1
382,এমনকি বিশ্বের বড় বড় জালিমরা নিজেদের মহিলাদের সাথে সৎ ছিল।,positive,এমনকি বিশ্বের বড় বড় জালিমরা মহিলাদের সৎ,7
383,"গতকাল কেউ আমাকে মারধর করেছে,",negative,গতকাল মারধর,2
384,ঈশ্বর তোমার প্রতি সহায় হোক।,positive,ঈশ্বর সহায়,2
385,ঈশ্বর তোমার মঙ্গল করুক,positive,ঈশ্বর মঙ্গল করুক,3
386,আমি তোমায় ভালোবাসি,positive,তোমায় ভালোবাসি,2
387,আপনার মুখ সব ফুলে উঠেছে কেন? ওহ না! ভাইয়ের মুখ সব ফুলে গেছে।,negative,মুখ ফুলে উঠেছে ওহ ভাইয়ের মুখ ফুলে,7
388,তার আপনাকে মারার সাহস কী করে হয়?,negative,মারার সাহস,2
389,"তুমি তো জানো আমি প্রতি রাতে একজন করে অতিথি নিয়ে আসি বাড়িতে,তাই না?",positive,জানো রাতে একজন অতিথি আসি বাড়িতে,6
390,ঠিক ততটাই কষ্টকর!,negative,ততটাই কষ্টকর,2
391,তুই তোর সীমা অতিক্রম করছিস।,negative,তুই তোর সীমা অতিক্রম করছিস,5
392,"বড় ভাই, কোন উপায় নেই এই মানুষগুলোকে সংশোধন করার?",positive,বড় ভাই উপায় মানুষগুলোকে সংশোধন,5
393,সুপার! খুব সুন্দর!,positive,সুপার সুন্দর,2
394,দয়া করে তোমার প্রতি আমার ভালোবাসা বুঝতে চেষ্টা করো।,negative,দয়া ভালোবাসা বুঝতে,3
395,আমার বিশ্বাস তুমি এই বাজে অভ্যস ত্যাগ করবে।,positive,বিশ্বাস বাজে অভ্যস ত্যাগ,4
396,যদি আমরা মন দিয়ে কিছু করি তাহলে অসম্ভবকে সম্ভব করতে পারবো।,positive,মন দিয়ে অসম্ভবকে সম্ভব পারবো,5
397,ভিতরে যাও এখনি!,negative,ভিতরে যাও এখনি,3
398,কে নরম কে কঠিন তাতে কিছু যাই আসে না সবার জন্য একই চিকিৎসা পদ্ধতি।,positive,নরম কঠিন যাই আসে চিকিৎসা পদ্ধতি,6
399,আমি তোকে মারব।,negative,তোকে মারব,2
400,তার জন্য হাত তালি দাও। তোমাকে অনেক ধন্যবাদ!,positive,হাত তালি দাও ধন্যবাদ,4
401,"যদি এটা ঠিক হয়ে যায়,আমি সবচেয়ে সুখী ব্যক্তি হব।",positive,যায় সবচেয়ে সুখী ব্যক্তি হব,5
402,তুমি তোমার বাবার সাথে আবার নিজের প্রেমিকের সাথেও সৎ থাকছো।,positive,বাবার প্রেমিকের সাথেও সৎ থাকছো,5
403,শালা গাধা!,negative,শালা গাধা,2
404,শালা হারামজাদা!,negative,শালা হারামজাদা,2
405,যদি তুমি রাগান্বিত হয়ে তাকে হত্যা করো,negative,রাগান্বিত হত্যা,2
406,হে! আমাকে মারছো কেন?,negative,হে মারছো,2
407,তোমার আমার সাথে পুরো জীবন কাটানোর বিন্দুমাত্র ইচ্ছাও নেই।,positive,পুরো জীবন কাটানোর বিন্দুমাত্র ইচ্ছাও,5
408,আমি তোমাকে ঘৃণা করি,negative,ঘৃণা,1
409,সে আবার তোমাকে মেরেছে?,negative,মেরেছে,1
410,এমনকি মানুষের জন্মের পিছনেও কারণ আছে।,positive,এমনকি মানুষের জন্মের পিছনেও,4
411,কি দারুন! আপনাকে ধন্যবাদ!,positive,দারুন ধন্যবাদ,2
412,ছবিটা তোমার সামনে রেখে মনযোগ সহকারে দেখো,positive,ছবিটা মনযোগ সহকারে দেখো,4
413,আপনাকে ধন্যবাদ। আমি আপনাকে ভালোবাসি।,positive,ধন্যবাদ ভালোবাসি,2
414,আমার প্রাসাদে স্বাগতম।,positive,প্রাসাদে স্বাগতম,2
415,তোমাকে তো শিক্ষিত সাদা পোশাকধারী কর্মী মনে হয়।,positive,শিক্ষিত সাদা পোশাকধারী কর্মী,4
416,আমি অভিভূত ,positive,অভিভূত,1
417,আপনি এত সমৃদ্ধ জীবনযাপন করেন। আপনার জীবন সঙ্গী কোথায়?,positive,সমৃদ্ধ জীবনযাপন জীবন সঙ্গী কোথায়,5
418,আমি সে কারণে আকাশে চাদের খোঁজে তাকিয়েছি কিন্তু তারা ছাড়া কিছুই পাই নি।,positive,কারণে আকাশে চাদের খোঁজে তাকিয়েছি ছাড়া পাই নি,8
419,তিনি চাঁদের মতোই সুন্দরী।,positive,চাঁদের সুন্দরী,2
420,কি দারুন! সুপার! সে অনেক সুন্দরী!,positive,দারুন সুপার সুন্দরী,3
421,চুপ করে বাড়ি থেকে বেরিয়ে যাও!,negative,চুপ বাড়ি বেরিয়ে যাও,4
422,চলে যাও! যাও!,negative,যাও যাও,2
423,এটা তো খুব সুন্দর বাড়ি।,positive,সুন্দর বাড়ি,2
424,আমি আপনার কাছে তাকে বিয়ে করার অনুমতি চাই।,positive,বিয়ে অনুমতি চাই,3
425,আমি আপনার মেয়ের প্রেমে পড়েছি।,positive,মেয়ের প্রেমে পড়েছি,3
426,আমি তোমাকে খুন করব।,negative,খুন করব,2
427,কে তাকে মারল! উহু!,negative,মারল উহু,2
428,আপনি কি ভাবেন আমরা আপনাকে মারতে পারব না?,negative,ভাবেন মারতে পারব,3
429,"আমি তোমাকে অনুরোধ করছি, দয়া করে আমাকে ছাড়ো।",negative,অনুরোধ করছি দয়া ছাড়ো,4
430,ওহ খোদা! আমাকে বাঁচাও!,negative,ওহ খোদা বাঁচাও,3
431,এই মেয়েটার ধোলাই সহ্য করা কঠিন।,negative,মেয়েটার ধোলাই সহ্য কঠিন,4
432,আমি আপনার কাছে ভিক্ষা করছি,negative,ভিক্ষা করছি,2
433,চুপচাপ গাড়িতে উঠুন।,negative,চুপচাপ গাড়িতে উঠুন,3
434,আপনি পরে নিজেই বুঝতে পারবেন।,positive,বুঝতে পারবেন,2
435,যাও এবং এটা দ্রুত আনো।,negative,যাও দ্রুত আনো,3
436,পুলিশের সামনে তোমার সাহস কী করে হয় এটা করার?,negative,পুলিশের সাহস,2
437,শালাকে নিয়ে যা।,negative,শালাকে,1
438,দয়া করে তাকে মারবেন না।,negative,দয়া মারবেন,2
439,সে মারা যাবে স্যার।,negative,মারা স্যার,2
440,"স্যার, দয়া করে তাকে মারবেন না স্যার ...",negative,স্যার দয়া মারবেন স্যার,4
441," আপনি যদি একটি গাছ লাগান,এটি পুরো পরিবেশকে রক্ষা করে।",positive,গাছ লাগান পুরো পরিবেশকে রক্ষা,5
442,সবাইকে অভিবাদন,positive,সবাইকে অভিবাদন,2
443,আমি দশ কোটি টাকা অনুদান দিচ্ছি সবাইকে ,positive,দশ টাকা অনুদান দিচ্ছি সবাইকে,5
444,এই পুরস্কার বিতরণী অনুষ্ঠানের কারণ আপনি কাল বুঝতে পারবেন।,positive,পুরস্কার বিতরণী অনুষ্ঠানের কাল বুঝতে পারবেন,6
445,কোন আনুষ্ঠানিকতা করবেন না দয়া করে।,positive,আনুষ্ঠানিকতা দয়া,2
446,"আমি যদি বিয়ে করতে চাই, মহিলাদের কোন অভাব নেই।",positive,বিয়ে চাই মহিলাদের অভাব,4
447,"আমি যখন  তাকে দেখলাম,আমি তাৎক্ষণিকভাবে তাকে পছন্দ করে ফেললাম।",positive,দেখলাম তাৎক্ষণিকভাবে পছন্দ ফেললাম,4
448,আমি দিনের বেলায় যা করি সেটা হয়তো আপনারা ভুলে যান,positive,দিনের বেলায় হয়তো আপনারা ভুলে,5
449,আমরা একটা শুভদিন খুঁজে বের করে আপনাকে বিবাহের জন্য জানাবো।,positive,শুভদিন খুঁজে বের বিবাহের জানাবো,5
450,ধন্যবাদ আঙ্কেল ! আপনাকে অনেক ধন্যবাদ!,positive,ধন্যবাদ আঙ্কেল ধন্যবাদ,3
451,আমি যে মেয়েটির সাথে বিয়ে করতে চাই তার মনে কেবল আমারই থাকা উচিত।,positive,মেয়েটির বিয়ে চাই কেবল আমারই,5
452,তুই! কেন তুই এখানে এসেছিস?,negative,তুই তুই এসেছিস,3
453,আমাদের সবারও এটা পছন্দ।,positive,সবারও পছন্দ,2
454,আমি আমার কন্যার সাথে তোমার বিয়ে দিতে রাজি আছি।,positive,কন্যার বিয়ে রাজি আছি,4
455,পরাজিতদের এনে এটাকে প্রতিযোগিতার সৃষ্টি করবেন না,positive,পরাজিতদের এনে এটাকে প্রতিযোগিতার সৃষ্টি,5
456,তুমি কী জানো সে কতটা কষ্ট পেয়েছে?,negative,জানো কতটা কষ্ট পেয়েছে,4
457,"একদিন না খেলে তুমি কি মরে যাবে নাকি? হ্যাঁ, আমি মরে যাব।",negative,একদিন খেলে মরে হ্যাঁ মরে যাব,6
458,কেউ কথা বললে আমরা তাকে হত্যা করব।,negative,বললে হত্যা করব,3
459,"আমি তোমার কাছে ভিক্ষা চাইছি,সে তোমাকে খুব ভালবাসে।",negative,ভিক্ষা চাইছি ভালবাসে,3
460,সে তোমার জন্য নিজের জীবন ত্যাগ করতে রাজি আছে। দয়া করে বোঝার চেষ্টা করো!,positive,জীবন ত্যাগ রাজি দয়া বোঝার,5
461,"এখন, আমিই কেবল আপনাদের সাথেই রয়েছি।",positive,আমিই কেবল আপনাদের সাথেই রয়েছি,5
462,আশা করছি আপনারা অনুষ্ঠানটি উপভোগ করবেন।,positive,আশা করছি আপনারা অনুষ্ঠানটি উপভোগ,5
463,আমি কিছুদিন আগেই এক জ্যোতিষীর কাছে গিয়েছিলাম।,positive,কিছুদিন এক জ্যোতিষীর গিয়েছিলাম,4
464,"তিনি আমাকে বলেছেন, আমার প্রেমে পড়বার সম্ভাবনা রয়েছে",positive,প্রেমে পড়বার সম্ভাবনা রয়েছে,4
465,"মজার কোনো কাহিনী, আমি শোনার জন্য খুবই আগ্রহী!",positive,মজার কাহিনী শোনার খুবই আগ্রহী,5
466,তোমার চমৎকার বুদ্ধিমত্তার প্রশংসা করে আসছি,positive,চমৎকার বুদ্ধিমত্তার প্রশংসা আসছি,4
467,আর কত সময়? আমাদের অফিসে দেরী হচ্ছে।,positive,সময় অফিসে দেরী,3
468,দেরী হচ্ছে কেন?,negative,দেরী,1
469,এখানে বেশিক্ষণ থাকলে কান দিয়ে রক্ত পড়া শুরু করবে,negative,বেশিক্ষণ থাকলে কান দিয়ে রক্ত পড়া,6
470,ভিতরে ঢুকলি কেন রে?,negative,ভিতরে ঢুকলি রে,3
471,যা ভাগ!,negative,ভাগ,1
472,হায় ভগবান! ,negative,হায় ভগবান,2
473,তুমি সুপার!,positive,সুপার,1
474,পড়াশোনা বেশি করি নাই।করলে তাদের মতোই আমার চিন্তাভাবনা হতো,positive,পড়াশোনা চিন্তাভাবনা হতো,3
475,ভগবান তিনজন আজ মারা গেছে।,negative,ভগবান তিনজন মারা,3
476,তোর বাবার ঔষুধ এনেছিস?,negative,তোর বাবার ঔষুধ এনেছিস,4
477,আমাদের এক আত্মীয় মারা গেছে। তাকে কবরস্থানে নিয়ে যেতে হবে।,negative,এক আত্মীয় মারা কবরস্থানে,4
478,তাড়াতাড়ি যেয়ে তোর বাবার ঔষুধ আন।,negative,তাড়াতাড়ি যেয়ে তোর বাবার ঔষুধ আন,6
479,যেকোন সময় তো মরে যাবে।,negative,যেকোন সময় মরে,3
480,"মরতে চায়লে, মরতে দাও।",negative,মরতে চায়লে মরতে দাও,4
481,কতদিন আর বিছানায় শুয়ে কষ্ট ভোগ করবে?,negative,কতদিন বিছানায় শুয়ে কষ্ট ভোগ,5
482,বাজে কথা বলিস কেন বাবার সম্পর্কে?,negative,বাজে বলিস বাবার সম্পর্কে,4
483,লাশ একটা আমার জন্য অপেক্ষা করছে।,negative,লাশ অপেক্ষা,2
484,লাশ আবার কোথায় যাবে? মরে পড়েই থাকবে।,negative,লাশ কোথায় মরে পড়েই,4
485,ভগবান! জ্বালায়ো তো না আর।,negative,ভগবান জ্বালায়ো,2
486,গর্দভ কোথাকার!,negative,গর্দভ কোথাকার,2
487,পাগল হয়ে গেছিস?,negative,পাগল গেছিস,2
488,যা! অপদার্থ!,negative,অপদার্থ,1
489,চিৎকার করে কাদছে।,negative,চিৎকার কাদছে,2
490,দুঃখের বিষয়। ,negative,দুঃখের বিষয়,2
491,মৃত লোকটাকে দেখছেন না?,negative,মৃত লোকটাকে দেখছেন,3
492,অল্প বয়সেই স্বামীকে হারালো।,negative,অল্প বয়সেই স্বামীকে হারালো,4
493,সৎকারে এসে সবাই লাশ দেখে।,negative,সৎকারে সবাই লাশ,3
494,লাশের পাশে বসে কাদা মহিলা না।,negative,লাশের পাশে কাদা মহিলা,4
495,টাকা কেন চাচ্ছো?,negative,টাকা চাচ্ছো,2
496,তার স্বামী মারা গেছেন,negative,স্বামী মারা গেছেন,3
497,আমাদের একজন মারা গেছে কষ্টে আছি।,negative,একজন মারা কষ্টে আছি,4
498,আপনাকে অনেক পছন্দ করি।,positive,পছন্দ,1
499,"আপনি রাজি হলে, বিয়ে করতে চাই।",positive,রাজি বিয়ে চাই,3
500,আরে আবাল!,negative,আরে আবাল,2
501,আমাকে মারছেন কেন?,negative,মারছেন,1
502,রঙিন জীবন হয়ে গেছে শুরু মনটা উড়ে বেড়াচ্ছে মেঘের মতো ছোট একটা মাছ পানি থেকে লাফিয়ে উঠে দেখছে পৃথিবী আমার হৃদয়ও দেখতে পেয়েছে আমার পৃথিবী,positive,রঙিন জীবন মনটা উড়ে বেড়াচ্ছে মেঘের ছোট মাছ পানি লাফিয়ে উঠে দেখছে পৃথিবী হৃদয়ও পেয়েছে পৃথিবী,16
503,অপদার্থ একটা!,negative,অপদার্থ,1
504,চুপ কর!,negative,চুপ কর,2
505,স্বামী যেহেতু মারা গেছে।,negative,স্বামী যেহেতু মারা,3
506,কী ভাগ্য আমার!,negative,ভাগ্য,1
507,এক বিধবা বসে আছে স্বামীর শোকে আর এক ব্যভিচারী আসছে নিতে।,negative,এক বিধবা স্বামীর শোকে এক ব্যভিচারী আসছে,7
508,লোকেদের কাঁদতে দেখে শোক আর কান্না ঝাঁকুনি দেয়।,negative,লোকেদের কাঁদতে শোক কান্না ঝাঁকুনি,5
509,মেয়েটাকে যখন কাদতে দেখলাম হাতের পশমগুলো দাড়িয়ে গেলো,negative,মেয়েটাকে কাদতে দেখলাম হাতের পশমগুলো দাড়িয়ে গেলো,7
